Star, C_Value, S_Value, Score 
––––––––––––––––––––––––––––– 
0 59.50999999999981 0.0010517612516113268 0.14173090374903696 
1 58.00999999999981 0.00020366011881111704 0.18715062602877203 
2 -30 -0.00027269654336458836 0.3794673015444417 
3 4.569999999999885 -0.00025774311855023197 0.48424108488021234 
4 55.50999999999981 0.00014188329838030601 0.13157291166064503 
5 -17.5 -9.793527468996956e-05 0.1629426934093545 
6 -18.0 0.00028740722470653815 0.22140797743180154 
7 -15.5 0.00021343695375387222 0.23682790035324977 
8 59.50999999999981 -0.00021026191577851305 0.25137654489530364 
9 -25.5 0.00016338655080470923 0.10567340118429351 
10 56.50999999999981 0.00016338311640857965 0.18762459958454158 
11 59.50999999999981 -0.00011548899035113613 0.07307376978547987 
12 59.50999999999981 -8.191749353836535e-05 0.11900288431634895 
13 59.50999999999981 -7.980039128676315e-05 0.1596919740489643 
14 16.009999999999813 1.9102642572889708e-06 0.20343031924206081 
15 59.50999999999981 2.170143044440917e-05 0.22773232216901962 
16 55.00999999999981 -0.00012209979149713045 0.12238556779596199 
17 -30 -6.65696861772171e-05 0.09477794518201771 
19 -29.5 0.0007481384114483432 0.13914706506963595 
20 -30 1.1898202813738609e-05 0.11236452203212005 
21 59.50999999999981 0.0006966294440383403 0.14310624954291384 
22 59.50999999999981 -5.2564562951501564e-05 0.10596729101838422 
23 -30 3.853358397150012e-05 0.0747887071224025 
24 59.50999999999981 0.00017388714071727427 0.15060713411302298 
25 59.50999999999981 -5.767881701909454e-05 0.2860152351351877 
26 59.50999999999981 0.00012454088799672113 0.12447442832224037 
27 -20.0 6.879098869307958e-05 0.11529666641711894 
28 35.50999999999981 -0.0003827570519858647 0.10017598484967574 
29 59.50999999999981 -0.00024539595590770204 0.14892150557256256 
30 -30 -0.00038071964429217887 0.137943436256394 
31 -30 -0.00015586340543471714 0.08932446660168794 
32 -30 -0.00021073149591243335 0.15176556079531645 
33 -9.5 0.00027750578575328594 0.1687157893494328 
34 59.50999999999981 0.00015232528489947118 0.17061749138334387 
35 59.50999999999981 -0.00019462519104519887 0.3909752317593933 
36 59.50999999999981 -0.00028109032544847444 0.1777164853499539 
37 -18.5 0.00035987479415345214 0.284012441336378 
38 -30 -0.0003917548843156271 0.15925269772379208 
39 -3.680000000000028 0.00041731947809445344 0.5068226863736495 
40 59.50999999999981 0.0004369997217376792 0.13737438939130459 
41 42.50999999999981 0.0005009353945229398 0.1369686155171279 
42 -23.5 0.0011103078042705276 0.19244506654502083 
43 -29.5 -0.0002850263325848929 0.38606761066033574 
44 -13.0 0.00025309302422692626 0.2028179989770518 
45 -30 -0.00010167795919954496 0.17888600753880732 
46 -30 0.00010021292008251077 0.26882524226268356 
47 -22.5 -0.00016789652041805875 0.28291312410802155 
48 16.009999999999813 -5.313698468047182e-05 0.3257604894668305 
49 -22.5 0.00010370344447506986 0.09822298743695086 
50 30.509999999999813 -0.00014625585510713915 0.2552444225133852 
51 -18.0 -3.956799503635993e-05 0.1796342696115059 
52 -22.5 -6.45697076068485e-05 0.12396108108704748 
55 -12.5 -0.00011285797617209485 0.3707663177371839 
56 -10.5 5.4644748873784125e-05 0.159240992812346 
57 -18.5 0.000100959186859153 0.20237142611459444 
58 -17.5 -0.0003639273173034998 0.09553921010991004 
59 6.419999999999845 4.29047599111947e-05 0.2762123677802421 
60 30.509999999999813 -0.00025236925734671404 0.3181796135793198 
61 7.59999999999982 -0.0005660172722139625 0.26795338999718316 
62 -21.5 0.00015351822250786397 0.44075461086304224 
63 -21.0 8.652962987475097e-05 0.16793577731793422 
64 -21.5 1.742475804977069e-05 0.1598075606250465 
65 59.50999999999981 -0.0005445258601603915 0.17941983342126616 
66 -13.5 0.00045504895102331825 0.21597962013357486 
67 -27.5 -0.001045892761518718 0.28517831392689613 
68 59.50999999999981 -0.00010988894283521405 0.19558002991912105 
69 -9.0 -6.039244270629308e-05 0.2716146530736333 
70 -28.0 -0.00015216597264343287 0.08508795240421418 
71 -16.0 -0.00047842665079963527 0.256032026027326 
72 -7.5 0.0005270155685172474 0.15226925526788332 
73 -30 -0.00028361513667851115 0.08838735371849153 
74 -13.5 0.0003814822128685002 0.25092512000381045 
76 -9.5 0.00014271984089123734 0.2813476319887407 
77 -15.5 0.00021430450467557147 0.21196922580514813 
78 -18.5 -0.00018848768435906376 0.0730695524854466 
79 -18.5 -0.00017184163707316337 0.2759967895828594 
80 -25.5 -0.00018540563545429544 0.06729552583038936 
81 -11.5 0.0005796614845003901 0.18435209121421514 
82 59.50999999999981 -0.00016735002110416405 0.1657332039905983 
83 59.50999999999981 -0.0003732675024270183 0.1653343039133801 
84 -21.0 8.858546999939961e-05 0.22260469456453905 
85 -12.0 0.00025364396555189935 0.0911130953648849 
86 -30 -0.00041166690308170543 0.2720889138922269 
88 59.50999999999981 -0.0001753093419599132 0.09303273456799956 
89 -9.0 0.0004077822458453692 0.16890354412103004 
90 -30 -0.00035621383279939403 0.08480664538089899 
91 59.50999999999981 -0.0002590023664623116 0.06213922076067199 
92 -20.5 0.00011022040808877299 0.1000343561471625 
94 35.00999999999981 9.911170196380043e-05 0.14861137129054738 
95 -30 -4.0796173625561106e-05 0.09906673155084407 
96 59.50999999999981 3.849661456012617e-05 0.12413726471424259 
97 -30 -1.7573340691771462e-05 0.08277959262355203 
98 23.009999999999813 -0.0001939516328985242 0.31097723979435415 
99 27.009999999999813 0.00010773632846362624 0.16244917496360065 
100 -15.0 0.00056052758642667 0.15616587263140472 
102 -9.0 0.00036332648137036736 0.20852980959863568 
