Star, C_Value, S_Value, Score 
––––––––––––––––––––––––––––– 
19971 15.509999999999811 -0.00040545280748123454 0.11913578105283576 
20027 45.50999999999981 -0.00030302307867728135 0.08245777943726985 
20232 8.509999999999811 -0.0002966290442041741 0.11450262889420143 
20279 10.009999999999811 0.00026899477466790745 0.11836855301138366 
20339 16.509999999999813 -0.00019788807891282578 0.08535386935896357 
20352 8.509999999999811 7.851939338173173e-05 0.08206831210667793 
20369 14.509999999999811 -0.0003389375127780053 0.11197940404054416 
20379 11.009999999999811 -0.00011647182590561949 0.07328839944216681 
20403 9.509999999999811 -0.0001907734632038067 0.09168059933019312 
20443 10.509999999999811 4.863037320667559e-05 0.12658100269779668 
20799 46.50999999999981 -0.0002963607241665892 0.15061227099387292 
20811 57.50999999999981 -0.0002869962329038977 0.05360253112231493 
20890 14.509999999999811 -0.00032081721202607475 0.07238818335617794 
20903 16.009999999999813 -6.862589730735016e-05 0.058326653720679036 
20968 12.009999999999811 -0.00025845822052749707 0.09867735887404694 
21011 4.089999999999895 -0.0009566963997176851 0.2850006681168492 
21304 28.509999999999813 -0.00018476261063996428 0.1192499151583106 
21544 16.009999999999813 -0.00011245631320338293 0.12570910460822535 
21549 8.509999999999811 -4.4975983012740756e-05 0.12938294361160263 
21555 12.009999999999811 -0.00027674701218485153 0.0621414819332962 
21565 17.009999999999813 9.325318697568183e-06 0.06469238348164316 
21566 15.009999999999811 -0.00012323887583247964 0.07203454272907775 
21570 13.009999999999811 -0.0002820887278591099 0.07493224973460605 
21572 11.509999999999811 -0.00036490092196654107 0.08462903291085758 
21589 55.00999999999981 -0.0003982793120985109 0.19404879202043948 
21649 22.509999999999813 -0.0002132256964385911 0.08356168820054034 
21676 52.00999999999981 -0.00011622480949994513 0.12725547409554322 
21685 14.509999999999811 -0.00027030812513201117 0.09422098551682187 
21690 13.009999999999811 -0.0002391447431369203 0.0955316660606756 
21733 14.009999999999811 -0.000301473366222873 0.15602352312083329 
21859 16.509999999999813 -0.00024290284627191222 0.06559529473212422 
21864 9.009999999999811 -0.0002845046254451249 0.09127876326405021 
21907 17.509999999999813 -0.00016972888104618117 0.15983203959670847 
21930 11.509999999999811 -0.00031828193116237215 0.07702913022820795 
21945 22.509999999999813 -0.00014665445433314874 0.06403193059350937 
22576 16.509999999999813 -0.0002918230668879407 0.09666604279368061 
22592 21.509999999999813 -0.00019250314830595634 0.09741301040969026 
22768 59.50999999999981 -0.000507589766867834 0.19342385885900823 
22779 12.509999999999811 1.124238872304404e-05 0.09168086248228431 
22781 16.509999999999813 -0.0003043445019091436 0.09094594311787002 
22837 14.009999999999811 1.942860182341347e-06 0.09540748534856903 
23058 12.509999999999811 0.00018106435302526423 0.22821249824342682 
23248 59.50999999999981 -0.00033519311530436617 0.09217078313636436 
23425 13.509999999999811 -0.00032930366053338697 0.1269104625866891 
23434 59.50999999999981 4.4711330529409546e-05 0.12108476787769909 
23439 59.50999999999981 -5.923676294711936e-05 0.07097501977395491 
23595 14.009999999999811 -0.00020366133317190098 0.13139328458740632 
23597 59.50999999999981 -6.547857478629953e-05 0.13141481711371236 
23654 23.009999999999813 -0.00020624879062432498 0.08377909706414233 
23677 3.9099999999998984 -0.00080273837538873 0.1951733113284987 
23797 11.009999999999811 -0.00025303649151753777 0.17234843864955898 
23807 9.009999999999811 -0.00023516262257664472 0.16231834828866062 
23918 7.479999999999823 -0.00015816809457782082 0.10899724954069283 
23932 29.009999999999813 -0.0002044943129347487 0.09381480666708349 
23945 59.50999999999981 -0.00034848527155257616 0.06697319952446311 
23965 59.50999999999981 -0.0004159950745876655 0.06712698407832311 
23974 16.509999999999813 -0.0003567023563633757 0.07288144725701634 
24007 59.50999999999981 -0.00015610824780833038 0.08001282394539005 
24067 17.509999999999813 -0.0003340436610492609 0.09727847717368106 
24092 -30 -0.00014684037383094295 0.13861877393041827 
24395 14.509999999999811 -0.00014746049724675096 0.07068190261337007 
24461 17.509999999999813 -0.00022374092414185868 0.11257882248816378 
24483 59.50999999999981 -0.000320222497685402 0.04141245849553691 
24510 20.009999999999813 -0.0001420363440113497 0.1352671899091168 
24545 21.509999999999813 -0.00025279053445603983 0.09574739162332419 
24568 -30 -0.0005003370763684935 0.05401483814878733 
24627 7.879999999999814 -0.00026647940932085826 0.2620746511476462 
24764 19.509999999999813 -0.0001663273109082392 0.09897595511429251 
24820 14.009999999999811 -0.00038192192822052894 0.09293502610322472 
24824 -30 -0.0006079052446355453 0.1182652438211701 
24926 49.50999999999981 0.00024258518995817717 0.06201719454299675 
24935 11.509999999999811 -0.00011021640750712912 0.15212050423466955 
24953 54.50999999999981 -7.67763804371584e-05 0.112644967961247 
21031 1.4399999999999387 0.0004573106090783294 0.29864362012798457 
21813 7.8199999999998155 -2.0084351402302486e-05 0.09682065991405088 
22159 35.50999999999981 0.00010152414852744444 0.16518577019636962 
23627 13.009999999999811 -8.752827980658436e-05 0.11256439291285447 
19798 2.7399999999999234 0.0009049273597490012 0.12380092541896734 
19842 17.009999999999813 -0.0002310600014564843 0.07877119548120072 
19846 13.009999999999811 -0.0002502543842183261 0.07580373237296281 
19943 13.009999999999811 -0.00033661598443920286 0.06398932957297226 
20103 17.509999999999813 -0.0003042696592320896 0.07139174869192112 
20268 3.6699999999999036 -7.327068187552231e-05 0.10954250595950278 
20290 9.009999999999811 -8.09344343155287e-05 0.06439953579095449 
20291 8.009999999999811 3.915976791922304e-05 0.05966537149450224 
20310 8.509999999999811 4.8294343746275255e-06 0.07061403318689871 
20312 17.009999999999813 -4.207752699227474e-05 0.05935933856503905 
20320 14.509999999999811 -0.00016542872336035774 0.05938996802364414 
20330 7.309999999999826 0.00022085126696191142 0.10627988341434531 
20502 1.2799999999999385 0.000994240020465757 0.3602592587155663 
21069 10.009999999999811 -0.000178579802881003 0.050294248518296614 
21174 13.009999999999811 -0.00017628690287396095 0.08168836164468421 
21188 14.509999999999811 -5.438037679988725e-06 0.10531709457276545 
21255 9.009999999999811 -0.00030744635638541636 0.12470186194775874 
21264 15.009999999999811 -0.00020064910203752812 0.14315185017864634 
21303 13.009999999999811 -0.0002795695862004298 0.08369965886096879 
21305 36.00999999999981 -9.312999840115419e-05 0.05681372001170499 
21308 21.509999999999813 -0.00015384369520407023 0.05593188741884622 
21323 50.50999999999981 -6.653938718988327e-05 0.058627014044936775 
21338 10.509999999999811 -0.0002196357329736859 0.06237526253863925 
21350 21.009999999999813 -0.0006058921219523524 0.13751234389892186 
21466 11.509999999999811 -0.00011633747600922904 0.09671160051674811 
21474 11.009999999999811 3.896129373423302e-05 0.06279377927423033 
21489 12.009999999999811 -0.00020547046979562045 0.06352397612976786 
21508 9.509999999999811 -1.3033462206285312e-05 0.07957639234672025 
21523 9.509999999999811 9.025640649628583e-05 0.08716758639090198 
21588 13.009999999999811 -0.00010024800071862535 0.06277905593303326 
21600 11.509999999999811 -0.0002830926487223222 0.11317985142377532 
21677 9.509999999999811 -0.000289867279426112 0.12237245381962923 
21719 6.1799999999998505 -0.0006771995311283381 0.11258518194200012 
21729 7.519999999999822 -2.3059876354618455e-05 0.06802299483759046 
21821 10.009999999999811 -1.2836648205045775e-05 0.06414643439263569 
21858 11.009999999999811 2.958859614970942e-05 0.06115791815651913 
21878 11.009999999999811 -0.0003745385023367904 0.08041992459148108 
21879 12.509999999999811 -0.00022134789144784213 0.091258322774319 
22009 13.509999999999811 1.9205599573241428e-06 0.06332557578770409 
22019 22.009999999999813 -0.00014775012735870614 0.06400879313859498 
22020 9.509999999999811 -0.0003642852070352352 0.07141640374466111 
22054 12.509999999999811 -0.00030808828734463505 0.07643447138839479 
22099 21.509999999999813 -0.00011568755927153321 0.06964434279755563 
22117 9.009999999999811 -0.00036350481903294824 0.07978842320124356 
22199 -6.5 -0.00048120250354347066 0.1267568303464622 
22549 15.009999999999811 -0.00015961310525436302 0.07890884827189236 
22561 12.509999999999811 -0.00032907401729725776 0.0995586836621597 
22569 29.009999999999813 -0.0001161066488405571 0.05796959034109098 
22579 21.009999999999813 -0.00019195786571276277 0.05720016950709615 
22601 12.009999999999811 -0.0002937737538199768 0.08210888424539783 
22602 12.509999999999811 -0.00010479035603411374 0.05966802370876501 
22603 9.009999999999811 -0.00011152027528959124 0.06991144001661768 
22847 13.009999999999811 -0.00023818259793938594 0.08186527368060617 
22855 17.509999999999813 -0.0002089382445604017 0.13328647441361252 
22935 59.50999999999981 -8.669599501411599e-05 0.1011418067989443 
22947 10.009999999999811 -0.00016816460793823263 0.10674322487877569 
22982 14.509999999999811 4.215151777272392e-05 0.07617057847261886 
23261 23.009999999999813 -0.00023507177652296117 0.09769220758997964 
23279 16.009999999999813 -0.00021677463297386336 0.10089759506651551 
23312 16.509999999999813 -6.526425690338704e-05 0.06794721505525471 
23529 12.509999999999811 -0.00029415583549929566 0.06742904936197805 
23566 7.249999999999828 -0.00038149413084240355 0.18067867825353617 
23596 13.009999999999811 -0.00023276162839561623 0.05512372566556903 
23663 29.009999999999813 -0.00017099920576101139 0.07357667342171129 
23693 17.009999999999813 -0.00014183618706903192 0.0601515658993089 
23953 9.509999999999811 -0.00036169118071876876 0.1575421809881089 
24035 10.509999999999811 -0.0002026451183259495 0.09248318806925475 
24045 59.50999999999981 -6.896981847934959e-05 0.06228003583565758 
24051 37.00999999999981 6.936035995249586e-05 0.07064924106419547 
24100 15.009999999999811 -0.00021338442024353084 0.14298705369150078 
24122 20.009999999999813 -0.00027091947132576455 0.07225594115538055 
24233 13.009999999999811 -8.026669567382858e-05 0.05505510821896982 
24339 14.509999999999811 -0.00021510691831458324 0.05719308392373604 
24696 14.509999999999811 -0.00027399549841883905 0.08485433803372923 
24740 14.009999999999811 -0.000247830343475034 0.11270482683518697 
24742 9.009999999999811 -0.00028685920858543315 0.11989403620186505 
24744 16.009999999999813 -0.00023757812498824898 0.07198166070569754 
24896 13.009999999999811 -0.0003055835793872267 0.12691094984750473 
24898 23.509999999999813 -0.00026876710569769826 0.059172608226571416 
20390 -11.0 -0.00015754322864289317 0.15415541212905257 
20867 25.509999999999813 -0.0005243939328357871 0.07154748363126553 
