star,Score
20823,0.3763353792930941
22198,0.5914369727587444
22848,0.39470740926560294
24291,0.2416234910536446
19791,0.3891966682789836
19796,0.23214466206531026
19876,0.6552336217302652
19880,0.5093287842442321
19890,0.2255813967631939
19904,0.5830935479282914
19905,1.8407302299183887
19955,0.33131828455331247
19972,0.42118563942411025
20038,0.21277281846107343
20068,0.41878589360165536
20098,0.5974227774615101
20138,0.389823467385907
20255,0.8121734298260626
20292,0.5143598151343415
20308,0.4433711757478283
20367,0.3707025511684475
20571,0.30665100309679305
20735,0.5089762932193677
20833,0.5308935575416628
20887,0.49522334764243986
20923,0.5550568167517678
20957,0.1976825670484153
21028,0.47546843946904055
21196,0.5560469367436006
21469,0.5308070293570463
21506,0.4214092241561915
21519,0.4148965527797623
21558,0.6178953472473022
21747,0.3752931003325566
21773,0.22024934121256212
21979,0.4769089406704667
22063,0.6078146102927605
22148,0.4958688764341566
22160,0.5156967885046847
22175,0.4142286903965716
22185,0.5187296817131649
22256,0.31798912785796035
22280,0.4205587177079735
22313,0.43753648023072833
22328,0.630535428627751
22368,0.4961028604585854
22659,0.5855510403287365
22718,0.26257365821897166
22864,0.43189343952653914
22900,0.5052425289358641
23014,0.43102145063070746
23074,0.43489033903982693
23198,0.4524514851385892
23307,0.4597896545459654
23410,0.31839550268756645
23478,0.42343493443273666
23694,0.5059810258340776
23706,0.36517125450662563
23738,0.40077890086468254
23769,0.2677745233147291
23810,0.29625071727919255
23885,0.37676393179049383
23929,0.4948008103827583
23930,0.27163121386898276
23946,0.45492731669874387
24085,0.44222738275071927
24104,0.24447197432171686
24114,0.3890561428842836
24143,0.40064196068242736
24201,0.44077893378614996
24224,0.3395929226272932
24243,0.381917004902724
24255,0.4141860870059954
24302,0.3825626130996275
24498,0.41889999590435234
24603,0.4933259237879703
24730,0.44707620441335166
24732,0.4801858792332712
24755,0.6549863132051369
24962,0.39229644028413346
24993,0.4387278448523198
24997,0.4478145843170355
25002,0.3914415201777563
25008,0.4024364811118491
25035,0.5538604759458297
25037,0.3850377358714217
25041,0.24888010605458036
22044,0.2373840753361188
22052,0.20836377236982792
23939,0.18162057922012775
24795,0.35241225440564
25005,0.31047134581192043
