star,Score
10191,0.19874160934116752
10406,0.411704340124918
10472,0.25000661424288956
10649,0.25466804501536316
10671,0.35878161979400797
10678,0.24783156969673165
11658,0.2662500860814216
11665,0.2649872261393138
13535,0.13757080827279541
13545,0.7130169455364006
13552,0.2920269716202997
13648,0.21876872838471295
14168,0.11072941235734367
14188,0.0973154261781581
14201,0.07811310128572906
14202,0.08422950261522458
14215,0.10224351610166321
14218,0.08006170840543549
14596,0.07910200552900412
14808,0.09389073602785782
19749,0.23338586392676822
19754,0.0723143487395388
19772,0.12616037007504727
19773,0.21764820925012685
19777,0.10341502061251617
19779,0.2696847140420105
19782,0.23573936801718778
19786,0.16124078556600263
19788,0.13698279751772355
19789,0.18210115464542972
19792,0.07777073767704512
19793,0.18164917725370508
19801,0.07309642197959082
19805,0.19204540616710125
19806,0.09335576721471203
19811,0.2396261766852449
19813,0.21773279488657316
19815,0.16401363381069933
19816,0.15760903988774597
19819,0.09472669718041983
19820,0.11351009833796795
19821,0.4368878313854118
19834,0.35291021327201877
19836,0.1849960099913045
19837,0.5875764664640938
19839,0.20878706090248803
19840,0.18491413767696024
19845,0.3160183174269345
19850,0.17371916149346578
19853,0.23453775855815512
19856,0.07868610814521244
19858,0.286954971431491
19861,0.06650562658010845
19866,0.3196613196639219
19870,0.24115392186845838
19875,0.24893650202360598
19882,0.7284542041449135
19883,0.0905096447513884
19898,0.17410571118591633
19899,0.07767381994287162
19902,0.8572158099621184
19906,0.15781855003665368
19911,0.22027688760034037
19914,0.10164795301621
19921,0.7015581472755092
19924,0.29429062458247246
19926,0.07656324548007996
19927,0.26666273566109594
19929,0.26619031168512836
19932,0.3365828591476571
19936,0.21538501831767876
19940,0.10801955754066853
19947,0.18475976089920337
19949,0.12274074328863631
19973,0.10780204565687274
19976,0.4707762987250395
19986,0.2238899170097409
19988,0.46119805317094514
19990,0.09573119562054427
20000,0.298882826947835
20006,0.09434798530253538
20010,0.100309175246149
20016,0.3174163263919104
20017,0.10551668374431271
20024,0.0940540993398467
20026,0.07910316516952019
20030,0.09259347078473561
20031,0.28312067895726295
20042,0.15795011393698946
20043,0.12315103282991051
20045,0.12325369062344121
20047,0.08916485062918592
20048,0.0683231104517385
20053,0.1696817793175486
20055,0.3478800912323506
20061,0.12573308275839962
20064,0.08749875363648695
20066,0.13825366474097955
20071,0.1482595015814417
20072,0.1453837421187662
20075,0.0766369981566813
20087,0.2839551931035299
20090,0.08645814775302589
20093,0.08598058963189478
20095,0.09866525282617286
20096,0.24995914165988886
20099,0.342412852923307
20104,0.4767321268979801
20106,0.3017515284711304
20109,0.3826428218190455
20116,0.09929253429344558
20124,0.14410035340631078
20126,0.16913500446501842
20130,0.10671787281375857
20141,0.13479477059161088
20144,0.14758643403076255
20146,0.23627813630965117
20147,0.0672891383402453
20149,0.12162496421111503
20154,0.13539692726764266
20158,0.19538610633992393
20165,0.4217148454935039
20169,0.12509446619158804
20175,0.13414737431243598
20176,0.4073940323632908
20177,0.09193457475900997
20178,0.14066065226333102
20179,0.17541198640382427
20180,0.10030029784604938
20182,0.15248931685330896
20187,0.18685789529977298
20189,0.22320579364411589
20190,0.10944813561220831
20199,0.14178034411443932
20211,0.1453310660241947
20215,0.06776554424449416
20243,0.08552548203696837
20256,0.18485100080780764
20257,0.10792535648041812
20258,0.6231155565581135
20259,0.08701726707339245
20262,0.14448143470481334
20263,0.11254418628955139
20269,0.2785313437030791
20270,0.5996969071979689
20273,0.16600582207821982
20276,0.08105751704830684
20283,0.0903391350078227
20285,0.3472051697268096
20287,0.14802133335532708
20288,0.559010274605339
20293,0.10942995724194213
20294,0.10846433461671309
20296,1.0725856968278487
20301,0.09070162555388453
20303,0.2507959789791063
20307,0.12403938694470382
20313,0.08831838670420053
20327,0.31417850817497
20334,0.1303933698434413
20341,0.07988952353513387
20347,0.17292921985345644
20349,0.17622040906730393
20351,0.103426305426994
20353,0.2336026302910396
20358,0.5622922967112195
20384,0.114293040582312
20388,0.23798616684835988
20395,0.5246411531702688
20404,0.2083228724112542
20407,0.19637242790203535
20424,0.1671812574727469
20425,0.18687838088324926
20426,0.06992406584919382
20427,0.07392091633483129
20507,0.20127375078950152
20546,0.2866304459047973
20596,0.22703308911066591
20622,0.194146964596331
20684,0.19809311850969863
20755,0.14578592840522864
20759,0.1102930156786377
20761,0.1709632326519503
20765,0.08971410752480737
20777,0.1736027699588733
20779,0.16844058063593687
20788,0.2411984341852485
20789,0.1480579726585842
20793,0.09074431000270791
20796,0.17400121890135542
20797,0.1696698943188308
20800,0.09546981221773841
20801,0.3427407480703469
20806,0.10838959185499449
20814,0.2649780612973674
20815,0.1543286164336056
20820,0.08405658185874026
20826,0.5000018874296894
20831,0.5540780970744937
20834,0.36117537695586444
20840,0.13117784988274409
20841,0.10300801413951603
20846,0.09659084505033322
20847,0.3000470273523138
20860,0.49279602156842056
20865,0.14787155869041796
20869,0.24516705398770863
20872,0.531424850851804
20873,0.1956591306695055
20875,0.10384032599493673
20882,0.25205954901959643
20893,0.5052426277536927
20899,0.24703004416350352
20902,0.4976558995620195
20906,0.12031446615632144
20908,0.08135600241019077
20910,0.23295643221849033
20913,0.3566468674479436
20915,0.27481686859211485
20925,0.13253753883628921
20927,0.1651940434278525
20932,0.177065926846574
20936,0.24138717950513466
20943,0.21845278179524794
20945,0.11110248080865273
20946,0.29615222338100283
20950,0.18674147544217087
20956,0.16998317971783206
20962,0.14709947999756728
20972,0.109386729083167
