star,Score
12780,0.4929675496310464
13073,0.44530953165483633
14201,0.3674101704140836
14202,0.3487741624590899
14596,0.355989792304862
19749,0.47977016441788983
19750,0.37275816091581415
19759,0.46360487277989915
19761,0.3687905380977573
19775,0.3800632557632296
19782,0.4399534207993787
19789,0.43614903356053236
19792,0.3578190709371958
19800,0.4514872187925795
19805,0.440135588103108
19806,0.3822308886485195
19810,0.49086652718531243
19819,0.32552301509520437
19827,0.470991049187891
19832,0.482902645323833
19834,0.5864809953793176
19839,0.4538640841195767
19841,0.36575323334811966
19845,0.5344927174351894
19849,0.38728705019602866
19853,0.5050986661057413
19855,0.45500123005748344
19861,0.350405097013215
19866,0.5514009108042376
19870,0.48492990616275383
19877,0.5318569516941183
19883,0.3612235807268746
19884,0.38182510816621057
19899,0.340156847223042
19902,0.9545428546510338
19927,0.5056283945800475
19938,0.44479158048558015
19948,0.3480168120312454
19951,0.6402654638694738
19957,0.34537096623975544
19976,0.6720205069210573
19986,0.44353184175981947
19988,0.6419583065005285
20000,0.5378439454884764
20016,0.5478174023688585
20017,0.4063330194924557
20024,0.3610130664473766
20026,0.35669610538206303
20030,0.36255362693433035
20048,0.35429956287999764
20053,0.40101611319187425
20061,0.3583549379647499
20064,0.3723166421245798
20067,0.5195107391007996
20073,0.35603287604890316
20075,0.35038259440622216
20093,0.35973597690934833
20095,0.3790565813064933
20097,0.5854822501546296
20105,0.3442119321886266
20124,0.41911042777442886
20125,0.3848022033918406
20126,0.3755893218046111
20130,0.37829377060520547
20141,0.3637984788678145
20151,0.48925849775965397
20154,0.3692223915834841
20173,0.5109321194203794
20175,0.4052007752889325
20176,0.6151143872485884
20179,0.4253075584041943
20189,0.4352005480016761
20215,0.3519146330683039
20243,0.35039559848001484
20253,0.35645430086230423
20259,0.3430908802518095
20262,0.3771746495037412
20267,0.3444944209847095
20285,0.5532880032624258
20293,0.3645630129226975
20301,0.367420818664233
20313,0.3802825845468749
20327,0.542951530112503
20346,0.3573733291075199
20347,0.4423035996159488
20351,0.35775701216873085
20362,0.5318916281918383
20370,0.44731499971271843
20373,0.3363064383184954
20407,0.4471299012983199
20426,0.351871736795267
20427,0.3537077585204251
20526,0.36257688451332093
20577,0.401211544001073
20715,0.40734223559748084
20755,0.4160928129924939
20765,0.348967802256139
20771,0.3741230267337939
20786,0.3675500717651363
20788,0.4825437931866445
20789,0.39276413632763424
20797,0.45490440754077965
20800,0.34850591832072103
20801,0.5777824479409956
20802,0.5559365968284926
20806,0.35486302099042044
20815,0.3858710422856326
20820,0.3486600885237889
20826,0.6807700266310198
20834,0.5863204890456757
20841,0.362238016713841
20846,0.3839291727399631
20860,0.6764991185648641
20865,0.42379392356999923
20871,0.3501609611998885
20872,0.6992673776447923
20882,0.492930323502796
20896,0.48087540318715505
20899,0.4905575703635605
20902,0.678488527807085
20911,0.37364179764649863
20913,0.5674546990235624
20914,0.4075418216923833
20925,0.4028854541947841
20930,0.656411727346345
20940,0.4346798042108187
20945,0.36731284004338527
20950,0.42321222690875004
20954,0.49809085537494396
20962,0.44422959360929354
20982,0.3684385415051277
20983,0.3749475336990712
20989,0.36125652208784775
20994,0.44381472698545643
21006,0.37842955454959815
21012,0.34737698742492273
21044,0.34585646238807133
21048,0.35434400960671897
21053,0.34770757759408943
21055,0.3516423602565006
21065,0.3473332604110756
21067,0.35416534959456336
21071,0.35300004909444577
21072,0.35490746092611447
21079,0.44445453424224435
21080,0.3520661569636818
21084,0.35258745835845384
21090,0.3585322220570427
21097,0.36805521625079457
21124,0.3522460137058195
21131,0.3739204013112762
21144,0.3469210813115159
21150,0.35169586549131804
21154,0.35291896322259214
21155,0.35797250644889494
21157,0.3488651309298896
21158,0.3811621235614365
21177,0.48563026733070125
21186,0.3803996384238173
21201,0.3372333349895741
21206,0.49622627572458655
21209,0.5938781825379602
21214,0.5278430488012904
21223,0.3582944135134342
21224,0.7422325819076903
21228,0.6249366355749275
21235,0.35047592255095106
21245,0.37421238439898763
21258,0.45865349665806815
21280,0.3462990662901179
21284,0.35848411578186273
21287,0.3575625494246198
21297,0.3542789554216086
21301,0.37627523997959783
21302,0.3507896864471734
21306,0.44334915128727076
21316,0.48480247646493446
21321,0.3699985093635319
21324,0.34997742987707814
21346,0.39646082649744263
21347,0.37997861477781253
21349,0.3560171681878612
21356,0.35595075686551475
21364,0.346982188785151
21367,0.36093555566190344
21371,0.3545599430698272
21378,0.34198576886962045
21383,0.38394384098857476
21397,0.34958550877759004
21398,0.3506758356355803
21400,0.3664604081228772
21403,0.352494624587477
21417,0.3600702750568601
21421,0.3494987101639369
21424,0.35894712755153635
21453,0.5340134841169574
21455,0.3767572053649028
21470,0.38852917200032017
21475,0.3715562478015336
21478,0.6339853669130584
21484,0.3549189274579242
21494,0.3839394755935502
21495,0.35110185810584815
21515,0.5626023570053993
21516,0.4613392444531511
21522,0.47583564202111667
21524,0.44393191213093275
21532,0.4058271004488968
21538,0.34846376380634914
21547,0.4119311473657966
21561,0.6651580841390655
21567,0.3994583925190825
21573,0.36776527550865407
21575,0.6456153767363682
21596,0.34754604404834616
21599,0.3599785766590307
21614,0.3480145027380837
21615,0.3583545945412381
21629,0.46028418858610465
21630,0.3559738572832377
21637,0.3622092509229056
21655,0.3677062401204635
21657,0.44253757176032626
21670,0.454443494799422
21673,0.3702007797992629
21691,0.3995586332146582
21693,0.3569970943562145
21698,0.36194539893296956
21725,0.3453189404779026
21739,0.36589533245850053
21742,0.3652755874993945
21749,0.3607516804085554
