star,Score
10093,0.3339442246146703
10094,0.4352889870044324
10097,0.5021456211529552
10098,0.7445955871106644
10099,0.5331488145450387
10101,0.5912744633890352
10102,0.4049502158588815
10105,0.46719923871260594
10107,0.4000227095456325
10112,0.3754072104120279
10113,0.4467108188953141
10114,0.473145138237082
10115,0.39531078177395584
10119,0.5759713901806717
10120,0.4748192813971374
10122,0.44739547266914403
10125,0.4755747985871049
10126,0.45639669551146644
10127,0.36831941636017884
10130,0.41097661557654397
10131,0.5696156590300676
10135,0.5372148109170284
10138,0.812137621802471
10140,0.4187697544755163
10143,0.48222373199221236
10147,2.044629368928481
10148,0.5268729243297422
10149,0.5164074125861349
10151,0.554139953571041
10154,0.4760838561369027
10155,0.6128876574119139
10161,0.4305623435360653
10162,0.5128473545677213
10165,0.41373956881528906
10168,0.5554059681445215
10173,0.3968594772805747
10174,0.38995252806053515
10176,0.5547502072847043
10178,0.41664843371653837
10183,0.4984367426167881
10184,0.8665513346702446
10186,0.4868620485407121
10188,0.4461633172378084
10190,0.8394629559437751
10191,0.45890452351027483
10192,0.46400979735178455
10193,0.43885151741027006
10197,0.5688909865809177
10198,0.4772616824329965
10199,0.36519295699429083
10201,0.49283500154479765
10202,0.40474801479648154
10204,0.39170428042586825
10206,0.45158135555343093
10209,0.5109985422533715
10210,0.38214201012802007
10211,0.347712695522876
10213,0.6531014560405369
10214,0.45031719816849136
10215,0.42452840310328327
10216,0.3847725186824297
10217,0.386902499634055
10218,0.534936802141142
10219,0.39350717141484143
10221,0.4063975577027219
10223,0.45743053463707956
10224,0.5548441904575588
10226,0.4161572893627109
10227,0.47166208776852864
10228,0.44157136902428135
10236,0.5866648947225566
10237,0.4976758798735326
10238,0.36059712719316067
10239,0.6425305715891014
10240,0.39515441618166014
10251,0.40934695776282465
10252,0.5106852757394825
10253,0.4165674255960489
10254,0.6694965199536708
10255,0.4487288114147203
10256,0.43404920815936077
10263,0.3829512223908722
10264,0.38853906805577837
10265,0.40507391699332784
10266,0.4783712178866153
10267,0.7384992512695537
10272,0.49075777591604963
10274,0.43276651592596344
10276,0.4640140321416673
10279,0.43916801464382665
10280,0.4390306045012666
10281,0.5455585638672796
10282,0.5035140821383399
10284,0.36943551136188896
10290,0.5098396120806628
10292,0.45413596144005663
10296,0.4162240005358234
10297,0.44948785993494006
10301,0.5574272433594152
10304,0.4267446553064163
10308,0.4365453681781977
10309,0.43664064194079816
10312,0.46872588950793653
10313,0.41656181021160116
10314,0.39080365711565535
10317,0.5283425632782748
10318,0.4638203793167855
10320,0.6735078521567586
10326,0.3931325297794833
10332,0.37949838398129015
10333,0.38270283597465576
10336,0.4863522543620153
10338,0.4636544187627105
10339,0.6051363510865754
10341,0.4089838789963141
10342,0.6345442728127167
10348,0.3959766103818031
10352,0.5333257503753001
10361,0.5298149137116153
10363,0.4227325717095484
10371,0.42903425549551893
