star,values
10093,0.12301565974427174
10094,0.19130944535059152
10097,0.1955852389214191
10098,0.3705548830839716
10099,0.36031795278000184
10101,0.23238042937342687
10102,0.17033754407908772
10105,0.17615507183743748
10107,0.16541232087237356
10112,0.09947069051702719
10113,0.21395106038097675
10114,0.18726800648428935
10115,0.19472931698810705
10119,0.24169051624699353
10120,0.2032207186286758
10122,0.20057686898023624
10125,0.29866690139184476
10126,0.28647665964262514
10127,0.17746475069765572
10130,0.18785903093937592
10131,0.40379379760202316
10135,0.292746482994014
10138,0.5054492551641795
10140,0.2396373835920954
10143,0.16231162591887174
10147,1.8403956034927345
10148,0.3219473461137627
10149,0.3872354852006859
10151,0.2368897668446286
10154,0.2616844442124013
10155,0.2492729446638067
10161,0.16582875454546397
10162,0.1496251960096872
10165,0.2122720675492212
10168,0.21234434493734505
10173,0.12969801476929585
10174,0.17026167109832607
10176,0.30187644274823455
10178,0.16845287203669754
10183,0.1463882535556136
10184,0.5242464674041457
10186,0.22355557991238434
10188,0.15749164755619527
10190,0.24978684838943982
10191,0.13573341343648293
10192,0.13827731678568073
10193,0.14631173462650265
10197,0.20422251806317712
10198,0.16245564454803096
10199,0.17711708690093764
10201,0.15124607141281785
10202,0.18478154381038703
10204,0.15762142230736043
10206,0.15082034947912465
10209,0.186809791289467
10210,0.1632516217410758
10211,0.22144783057564146
10213,0.29125440385154205
10214,0.12666259445984268
10215,0.19476637532294716
10216,0.14346381677787823
10217,0.1365031715826547
10218,0.33197339684427446
10219,0.1769580441329749
10221,0.22728622662367978
10223,0.1907521659345147
10224,0.20256717933913698
10226,0.17480836707422012
10227,0.1696172692547161
10228,0.2500325719054025
10236,0.24400892157518114
10237,0.18811750382577866
10238,0.19630002874109906
10239,0.26828167599973124
10240,0.1547987095947174
10251,0.16546545502382698
10252,0.1965832008161183
10253,0.15631224306092012
10254,0.25182663323459525
10255,0.18862643698253873
10256,0.1764141485674586
10263,0.1955789840975028
10264,0.18472893857788733
10265,0.1849671859183633
10266,0.26599993392877735
10267,0.370395885914044
10272,0.14201055437734866
10274,0.2027413188010697
10276,0.23008636350683612
10279,0.1860886148814421
10280,0.17757077479909691
10281,0.19742968864525035
10282,0.3755513509485939
10284,0.07478208468415883
10290,0.24256741966501574
10292,0.18610223113906058
10296,0.19363725606920754
10297,0.2972876798925609
10301,0.28451905441154857
10304,0.14674283715984593
10308,0.1923627029142686
10309,0.15655867755589276
10312,0.3370638247493691
10313,0.18503363650998025
10314,0.13381073381528186
10317,0.4148596664734315
10318,0.26990084260331515
10320,0.4060262530517629
10326,0.17039833912258726
10332,0.15054049069752062
10333,0.12982827914691844
10336,0.21191581468043924
10338,0.2390140114800826
10339,0.2865538663025487
10341,0.2255734918495004
10342,0.29574554426026345
10348,0.234136870131352
10352,0.38698307451099956
10361,0.1701295840905407
10363,0.22734321170041505
10371,0.20067020814686942
10374,0.30239571605760973
10375,0.17092678473694772
10380,0.14167626817155013
10385,0.6669626433096273
10387,0.22196161018380206
10388,21.15405500165764
10398,0.10779280710251052
10401,0.25757375664611853
10406,0.25870770691873496
10417,0.23995836331628997
10421,0.27240927900957673
10424,0.13589104341705074
10427,0.14437055782331215
10432,0.3456433127671964
10448,1.618407667540192
10462,1.4917157948423043
10472,0.1567096275326502
10504,0.1600915373693779
10518,0.2685988517682549
10528,0.2946151531721858
10530,0.29573602539354765
10534,0.2756197032437803
10553,0.23063001853376466
10558,0.7900799386686087
10568,0.1492780787621758
10570,0.3216376598120593
10574,0.33713281090439273
10580,0.16880803605349937
10583,0.15081417349042656
10589,0.284633050965932
10590,0.3295792003176383
10597,0.39002616187935807
10602,0.3051862950502985
10609,0.7057924516093551
10617,0.4643092431109047
10621,0.4079444843274644
10625,0.5138038665935093
10626,0.23481125650436344
10630,2.332003874126516
10635,0.6011792052861157
10637,0.3457537177923041
10642,0.19598758368152677
10644,0.23431959849628822
10648,0.357440075913686
10649,0.1773623392740404
10650,0.09516409324104723
10656,0.30174996310164
10661,0.18549628359483178
10671,0.21274896448650646
10672,0.1655329753355151
10673,0.3191732969296281
10676,0.2407726318103342
10678,0.15236308471278803
10680,0.23756225561955543
10681,0.17384058993518306
10684,0.24658993826657055
10685,0.3919563744088489
10689,0.31642409593907866
10690,0.20580488361534852
10695,0.36594122087249664
10698,0.18086653372604927
10699,0.19108982312951778
10718,0.15962905654333734
10719,0.13541361098636198
10720,0.08149980201173652
10721,0.24696756620079086
10722,0.14806403167814683
10724,0.16495902541789925
10731,0.3186417212392387
10732,0.1477008070299882
10733,0.3905897682037454
10734,0.15275908674447466
10737,0.21161638672114966
10747,0.20988102977682965
10753,0.24032445248050183
10755,0.19520321595028886
10764,0.16558121682268
10767,0.1550936995022827
10771,0.2035913519559973
10777,0.14012319590261596
10782,0.25230852472496856
10783,0.1800657702968203
10788,0.25028578603486773
10795,0.2880613705715775
10797,0.20025278717430575
10802,0.21058419530001812
10805,0.36800574173491873
10806,0.11938654729271846
10810,0.3350735712875411
10811,0.23903758777197034
10819,6.388526682260653
10822,0.1670808375624133
10823,0.20918787506381112
10828,0.27418879242760724
10833,0.24014852106322604
10834,0.266418707011518
10839,0.2695846255958613
10842,0.1572594748758232
10845,0.2625077872150324
10852,0.6022819439640059
10853,1.062929110540533
10858,1.9979062966201209
10861,0.1796666695681102
10863,0.18765138967444772
10870,0.3733624713178337
10872,0.3811440031671795
10874,0.2538547904122872
10878,0.21862057784882113
10884,0.32736586566499654
10886,0.21623595980680835
10890,0.6011768796313853
10891,0.34768424303613765
10897,0.24784780711440016
10902,0.2086257165424574
10903,0.2171049790905427
10907,0.21291209996126412
10908,0.22996017329555024
10909,0.37981037612820107
10910,0.22672107975949377
10912,0.2538298195903776
10916,0.21770208388782278
10925,0.20069327158134748
10928,0.3584852004642755
10930,0.2441439732026723
10931,0.1890357474229885
10933,0.20161798282718613
10934,0.265926598401597
10936,0.1952573832387353
10938,0.30108459666145
10939,0.1898630877509837
10940,0.2295653109952141
10941,0.45806471715404334
10943,0.2111883925980199
10955,0.4206427245940521
10957,0.2131098091637986
