star,"C,S,Score Values"
20823,0.24686024787779018
22198,0.2976632360940582
22848,0.34978921576666383
24291,0.13807606311954995
19791,0.28336778659128153
19796,0.15935965060423798
19876,0.35517318293326283
19880,0.32252675502714406
19890,0.1490523537151373
19904,0.4046636970065224
19905,0.7114661830844047
19955,0.2464161936311849
19972,0.2705196513503704
20038,0.1727074595354067
20068,0.2742826594985537
20098,0.39244091663915703
20138,0.24652103987553273
20255,0.5764275942820519
20292,0.35397659078974497
20308,0.33549172661811166
20367,0.26521664931999256
20571,0.25744962654033177
20735,0.3287391405359464
20833,0.33460822767458
20887,0.34120172572959456
20923,0.3025154078069912
20957,0.1652007846958869
21028,0.3440888858666335
21196,0.30686702217041184
21469,0.34909210948419134
21506,0.29381372872618733
21519,0.3323744793030955
21558,0.4962981417148441
21747,0.2642157395402746
21773,0.17084358903218075
21979,0.3025949202272856
22063,0.3841543065464758
22148,0.3224012134004745
22160,0.33462818262652266
22175,0.2706550795517218
22185,0.3686405349946532
22256,0.19761631380417166
22280,0.2750887443295934
22313,0.2922888972574124
22328,0.4049527199686093
22368,0.31990373498848923
22659,0.31913925574969687
22718,0.20946976225346034
22864,0.3015067620355359
22900,0.33004075902858077
23014,0.3246883348268833
23074,0.32314896573514407
23198,0.2984659194737987
23307,0.33164962959167693
23410,0.20763285598000578
23478,0.2686362927224124
23694,0.32491570391694075
23706,0.27614391316235953
23738,0.2587981247968775
23769,0.218591381494149
23810,0.2795056751968884
23885,0.2765275106488317
23929,0.37354149235530437
23930,0.2115294016705005
23946,0.2996288927043252
24085,0.2833813343543603
24104,0.16948674663807398
24114,0.27269926306107134
24143,0.2609490271315505
24201,0.2949489195917907
24224,0.29199451997022846
24243,0.2471214358894249
24255,0.3008916696999776
24302,0.28075942846383617
24498,0.289711202679509
24603,0.286430478349532
24730,0.32020713389097877
24732,0.3432939730027276
24755,0.42706165755076964
24962,0.2628898837431293
24993,0.30101808128909807
24997,0.323666588422554
25002,0.2700794852079862
25008,0.2639648820523141
25035,0.2952622644141407
25037,0.25365470106539884
25041,0.1803387506678016
22044,0.18775939014984686
22052,0.15783625587326972
23939,0.1435223101207627
24795,0.2778439580181706
25005,0.25125616333030215
